TWEET: (20:46:48) | cclair 16 fail
TWEET: (20:46:48) | cecauger 32 success
TWEET: (20:46:48) | cli 0 unregistered
TWEET: (20:46:48) | flplace 64 success
TWEET: (20:46:48) | gtaverne 48 success
TWEET: (20:46:48) | gufestin 80 success
TWEET: (20:46:48) | iderighe 32 success
TWEET: (20:46:48) | lebourre 100 success
TWEET: (20:46:48) | lech-cha 32 success
TWEET: (20:46:48) | nargouse 64 success
TWEET: (20:46:48) | rhoarau 0 unregistered
TWEET: (20:46:48) | shemami 0 fail
TWEET: (20:46:48) | threiss 80 success
TWEET: (20:48:34) | cclair 16 fail
TWEET: (20:48:34) | cecauger 32 success
TWEET: (20:48:34) | cli 0 unregistered
TWEET: (20:48:34) | flplace 64 success
TWEET: (20:48:34) | gtaverne 48 success
TWEET: (20:48:34) | gufestin 80 success
TWEET: (20:48:34) | iderighe 32 success
TWEET: (20:48:34) | lebourre 100 success
TWEET: (20:48:34) | lech-cha 32 success
TWEET: (20:48:34) | nargouse 64 success
TWEET: (20:48:34) | rhoarau 0 unregistered
TWEET: (20:48:34) | shemami 0 fail
TWEET: (20:48:34) | threiss 80 success
TWEET: (20:56:44) | gufestin 100 success
